X,Y,Z,Name
116.4117698,40.0752466,0,点168
116.4118128,40.0769213,0,点169
116.4072208,40.0774796,0,点170
116.4102249,40.0770855,0,点171
116.4100532,40.0762317,0,点172
116.4085941,40.0770855,0,点173
116.4084224,40.0763631,0,点174
116.4072208,40.0763631,0,点175
116.4070062,40.0791215,0,点176
116.4332275,40.0777094,0,点177
116.4348583,40.0774467,0,点178
116.4361458,40.0770199,0,点179
116.4345579,40.0760675,0,点180
116.4294939,40.0748197,0,点181
116.4333992,40.0748854,0,点182
116.4378624,40.0772826,0,点183
116.4369182,40.0787602,0,点184
116.4357166,40.0762317,0,点185
116.4342146,40.0741957,0,点186
116.436017,40.0754765,0,点187
116.4308672,40.0693682,0,点188
116.4307813,40.0684158,0,点189
116.430438,40.0676276,0,点190
116.4302234,40.0670692,0,点191
116.4322834,40.0680545,0,点192
116.4335708,40.0676604,0,点193
116.4330988,40.0670035,0,点194
116.4317684,40.0665437,0,点195
116.4339142,40.0654928,0,点196
116.4310388,40.0653614,0,点197
116.4325409,40.0646717,0,点198
116.4292364,40.0646388,0,点199
116.4306526,40.0642119,0,点200
116.431983,40.0634564,0,点201
116.434,40.0639163,0,点202
116.4358024,40.0646388,0,点203
116.4067488,40.0750824,0,点204
116.4349441,40.0677918,0,点205
116.4353733,40.0669379,0,点206
116.4356308,40.0627338,0,点207
116.4276485,40.0707804,0,点208
116.4297085,40.0707147,0,点209
116.4333992,40.0732434,0,点210
116.432498,40.0726194,0,点211
116.4315967,40.0716999,0,点212
116.4085083,40.0756078,0,点213
116.4106111,40.0752466,0,点214
116.4083366,40.074557,0,点215
116.411684,40.0745898,0,点216
116.4394932,40.0763175,0,点217
116.4393215,40.0757921,0,点218
116.440566,40.0759563,0,点219
116.4408664,40.0751024,0,点220
116.4397507,40.0742815,0,点221
116.4409094,40.0738874,0,点222
116.4386349,40.0739531,0,点223
116.4395361,40.0733948,0,点224
116.4386778,40.0728365,0,点225
116.4408664,40.0729022,0,点226
116.4400511,40.0724753,0,点227
116.4412527,40.0718842,0,点228
116.4387207,40.0718842,0,点229
116.4397077,40.0715558,0,点230
116.437562,40.0714572,0,点231
116.4357166,40.0730664,0,点232
116.4369182,40.0731649,0,点233
116.4373474,40.0747412,0,点234
116.4391498,40.0708989,0,点235
116.4398365,40.0699466,0,点236
116.4409523,40.0695525,0,点237
116.4378624,40.069651,0,点238
116.4386349,40.0691255,0,点239
116.4400774,40.0691339,0,点240
116.4372235,40.0688712,0,点241
116.4413005,40.06828,0,点242
116.4388972,40.0678203,0,点243
116.4399272,40.0678203,0,点244
116.4377385,40.0672619,0,点245
116.4400774,40.0669663,0,点246
116.4203363,40.0736331,0,点247
116.4204221,40.072845,0,点248
116.4386182,40.0666379,0,点249
116.4399057,40.0658825,0,点250
116.441279,40.0669335,0,点251
116.4375454,40.0654227,0,点252
116.4265161,40.0625324,0,点253
116.4387899,40.0652913,0,点254
116.4410215,40.0653899,0,点255
116.4375454,40.0646345,0,点256
116.4391761,40.0645688,0,点257
116.4409357,40.0645359,0,点258
116.4377599,40.0638462,0,点259
116.4411073,40.0629266,0,点260
116.4225679,40.0603646,0,点261
116.4211088,40.0570142,0,点262
116.4215809,40.0584595,0,点263
116.40832,40.0716627,0,点264
116.4262157,40.0718597,0,点265
116.4315801,40.0784932,0,点266
116.4344125,40.0791171,0,点267
116.4293056,40.077311,0,点268
116.4276748,40.0789857,0,点269
116.4206796,40.0613171,0,点270
116.4295202,40.0661453,0,点271
116.4375024,40.0628937,0,点272
116.4388757,40.0629594,0,点273
116.4256578,40.0713015,0,点274
116.4157873,40.0589194,0,点275
116.4165598,40.0606602,0,点276
116.4121395,40.055996,0,点277
116.433683,40.0630579,0,点278
116.4251428,40.0601347,0,点279
116.4229112,40.0588208,0,点280
116.4193922,40.0560945,0,点281
116.4099079,40.055996,0,点282
116.4085898,40.0790514,0,点283
116.4098344,40.0788872,0,点284
116.4112076,40.0784932,0,点285
116.4185891,40.0787231,0,点286
116.4101777,40.0690354,0,点287
116.4167866,40.0774752,0,点288
116.4108643,40.0555689,0,点289
116.4124951,40.0553719,0,点290
116.4244685,40.0753079,0,点291
116.411551,40.0552076,0,点292
116.4124522,40.0544144,0,点293
116.4109502,40.0540202,0,点294
116.4084611,40.0548743,0,点295
116.4062724,40.0555641,0,点296
116.4086756,40.0570094,0,点297
116.4071307,40.0571408,0,点298
116.4075169,40.056451,0,点299
116.4081177,40.0619364,0,点300
